slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
22,778,3DHST_15563,188.95074463,62.21890259,0,0,0.001000000047497451,6,2000,TARGET,7728.533648406916,10251.126547990209,A
23,818,3DHST_16476,188.95045471,62.22373962,0,0,0.001000000047497451,6,2000,TARGET,7698.929822109992,10221.535551599572,A
27,872,3DHST_17848,188.94642639,62.23028946,0,0,0.001000000047497451,6,2000,TARGET,7652.275724888262,10174.901934993162,A
33,908,3DHST_19025,188.94619751,62.23558426,0,0,0.001000000047497451,6,2000,TARGET,7620.071986375268,10142.712164048296,A
37,931,3DHST_19661,188.94915771,62.23818588,0,0,0.001000000047497451,6,2000,TARGET,7609.846845290727,10132.491259380324,A
36,919,3DHST_19285,188.96884155,62.23711014,0,0,0.001000000047497451,6,2000,TARGET,7652.164596045839,10174.789393202942,A
35,918,3DHST_19281,188.97857666,62.23689651,0,0,0.001000000047497451,6,2000,TARGET,7671.224746211106,10193.840674203186,A
32,902,3DHST_18839,188.99324036,62.2348175,0,0,0.001000000047497451,6,2000,TARGET,7710.485385997758,10233.083388775725,A
44,999,3DHST_21508,188.98745728,62.2478714,0,0,0.001000000047497451,6,2000,TARGET,7621.92160742589,10144.558505556279,A
46,1033,3DHST_22052,188.99407959,62.25079346,0,0,0.001000000047497451,6,2000,TARGET,7616.667808867783,10139.306658389227,A
51,1078,3DHST_23229,188.99263,62.25628281,0,0,0.001000000047497451,6,2000,TARGET,7581.281993596148,10103.9363613384,A
56,1133,3DHST_24460,188.99150085,62.26182938,0,0,0.001000000047497451,6,2000,TARGET,7546.16348371128,10068.833245720889,A
55,1098,3DHST_23702,189.00317383,62.25863266,0,0,0.001000000047497451,6,2000,TARGET,7586.747170469395,10109.398658719747,A
52,1092,3DHST_23565,189.01322937,62.25788498,0,0,0.001000000047497451,6,2000,TARGET,7609.786151876526,10132.427121276556,A
50,1073,3DHST_23083,189.02204895,62.25556564,0,0,0.001000000047497451,6,2000,TARGET,7639.8970156480445,10162.52443295749,A
3,10,Stark11_43_3982,189.039261,62.247654,0,0,0.001000000047497451,1,2000,TARGET,7718.780538145899,10241.372704379697,A
60,1191,3DHST_25677,189.015625,62.26789856,0,0,0.001000000047497451,6,2000,TARGET,7554.738978253346,10077.403962323306,A
58,1144,3DHST_24704,189.03118896,62.26350403,0,0,0.001000000047497451,6,2000,TARGET,7609.727285754741,10132.367572715879,A
53,1093,3DHST_23574,189.04743958,62.25785065,0,0,0.001000000047497451,6,2000,TARGET,7673.469136093733,10196.080871889262,A
255,1916,f_3,188.9101907891565,62.35258791706703,0,0,0.001000000047497451,1,2000,STANDARD,6855.558346584298,9378.533932281129,A
254,1915,f_2,188.9023455624727,62.36399943583584,0,0,0.001000000047497451,1,2000,STANDARD,6773.112436144112,9296.124509280067,A
66,1230,3DHST_26451,189.04728699,62.27155304,0,0,0.001000000047497451,6,2000,TARGET,7592.051088907477,10114.698615928835,A
61,1205,3DHST_25984,189.05636597,62.26921082,0,0,0.001000000047497451,6,2000,TARGET,7622.872989981857,10145.506693476756,A
236,1731,z5_GND_45250,189.06427,62.274292,0,0,0.001000000047497451,5,2000,TARGET,7607.650988209975,10130.291192878974,A
63,1220,3DHST_26227,189.07818604,62.2701683,0,0,0.001000000047497451,6,2000,TARGET,7658.098496594159,10180.716131227626,A
250,1879,z7_GND_9252,189.069672,62.281013,0,0,0.001000000047497451,5,2000,TARGET,7578.137894860804,10100.791001882335,A
79,1318,3DHST_28439,189.07881165,62.28168869,0,0,0.001000000047497451,6,2000,TARGET,7591.356719295608,10114.003814310334,A
80,1321,3DHST_28529,189.08518982,62.28233719,0,0,0.001000000047497451,6,2000,TARGET,7599.559278984458,10122.20264089352,A
64,1222,3DHST_26271,189.10997009,62.2706337,0,0,0.001000000047497451,6,2000,TARGET,7715.183951422381,10237.775786343564,A
101,1398,3DHST_30405,189.08370972,62.29298782,0,0,0.001000000047497451,6,2000,TARGET,7534.098912963727,10056.771268907181,A
74,1259,3DHST_27096,189.11630249,62.27470779,0,0,0.001000000047497451,6,2000,TARGET,7703.196722834806,10225.79378783095,A
7,39,z5_GND_44499,189.105927,62.286846,0,0,0.001000000047497451,3,2000,TARGET,7612.249551301407,10134.887036898623,A
12,116,z6_GND_44248,189.106491,62.28997,0,0,0.001000000047497451,3,2000,TARGET,7594.97615228795,10117.621295643728,A
114,1445,3DHST_31577,189.10346985,62.29940033,0,0,0.001000000047497451,6,2000,TARGET,7533.90505821942,10056.577332848809,A
20,149,z6_GND_43953,189.117065,62.294224,0,0,0.001000000047497451,3,2000,TARGET,7590.107186490336,10112.754434299104,A
